index0,index1,index2,index3,index4,label
9.390255303,2.713165527,0.443168984,0.934786925,7.784660324,1
7.778718905,2.35210979,0.356872118,0.747449205,6.120501002,1
2.437744421,0.20115861,0.012187197,0,0,1
9.516542889,2.210262727,0.331947385,0.712312231,6.923289952,1
11.12522855,2.367623441,0.324668101,0.704427127,7.639434236,1
14.96762601,3.507361784,0.432591126,0.8412404,8.130365925,1
14.88441373,3.238231196,0.311191829,0.585150153,5.855717637,1
12.80470091,2.636924604,0.369769556,0.824326952,8.130365925,1
18.03684836,6.923315427,1.238971406,2.14266676,13.86455326,1
21.69545593,6.700195837,0.737929774,1.45904585,12.03309716,1
20.60172206,7.158431223,1.330839547,2.285456425,14.45780578,1
20.14272057,6.367442709,1.164742526,2.1526063,14.64295921,1
19.31793125,5.998188186,1.063117069,2.007929658,14.22294199,1
20.00324569,6.542125873,1.192827921,2.218879842,15.49011212,1
24.03912403,9.26973272,1.949042043,3.437643948,18.90513377,1
23.47252948,8.597028002,1.730603736,3.014967759,17.32973693,1
21.28869706,6.831019138,1.248549977,2.30187184,15.18431657,1
17.22101497,5.108754658,0.743074304,1.400560125,10.64976043,1
15.38862526,3.984297425,0.66581578,1.44884301,11.61446517,1
18.42350161,6.066590366,0.975960383,1.818501691,12.2130922,1
17.46891508,5.205970905,0.85709052,1.703936364,11.65795822,1
7.894207196,1.478299709,0.222645417,0.522572528,5.410152622,1
16.85425024,6.831019138,1.41299764,2.636936912,15.77324918,1
23.79476592,10.84282999,2.504832604,4.215943858,19.96607602,1
22.49111705,9.471113565,2.289883637,4.114149986,20.00253058,1
20.2127665,6.242946635,1.017610716,2.001177444,13.58874428,1
18.68493941,6.923315427,1.388515173,2.657296845,16.44376314,1
18.35860491,3.46363233,0.378900947,0.733745439,5.759707032,1
6.808501862,2.508454458,0.478771059,1.049321203,8.383339217,1
17.94119908,6.716331799,1.223893361,2.132793251,11.74534196,1
5.821561241,1.478299709,0.297758899,0.746068127,7.044790002,1
12.23700568,4.221650635,0.77598881,1.506883901,9.862814054,1
12.13990342,2.830142469,0.429684863,0.912533597,7.800907009,1
7.817130578,2.54198369,0.4514215,0.947008805,7.198439817,1
59.57746817,47.96471501,33.35020488,36.88400649,57.12911479,2
60.2836252,48.27581448,33.64561083,37.13713421,57.72477904,2
59.22862863,47.7594547,33.6754346,37.16263613,57.20305687,2
60.16513573,48.87417467,34.75344588,38.29251154,58.40649798,2
60.58124282,48.83858336,34.43851802,38.13083472,58.63652105,2
61.66959323,50.30242193,35.40075183,39.17797128,59.49213658,2
64.70776974,52.4590409,37.27425106,40.70562601,61.67706072,2
62.16198094,50.49137135,35.69991226,39.66487796,59.64979728,2
62.41021812,50.68169487,35.69991226,39.66487796,60.44798322,2
62.78516373,50.45347114,35.69991226,39.3484767,59.41355474,2
61.730847,49.63335806,35.2693837,38.7302852,59.33513067,2
61.730847,49.67007905,35.204062,38.75797094,58.86796176,2
61.48634036,49.19677897,34.94515801,38.51018103,59.02304218,2
61.06165629,49.01705192,35.00952871,38.53755896,58.7906571,2
61.00132039,49.48700591,35.1714913,38.48283932,59.02304218,2
61.30383588,49.26902852,34.97731154,38.42827265,59.25686651,2
67.68042684,49.63335806,35.5330957,34.06877863,59.57088481,2
69.8925172,50.60539898,35.36782053,34.09031906,58.94541985,2
70.18545786,50.68169487,35.93608076,34.15510637,59.33513067,2
70.77665409,51.45704382,36.52275635,34.57107278,60.12671896,2
69.45638447,50.68169487,35.5330957,33.94008126,59.25686651,2
67.26383034,48.06798432,33.43828683,32.02194135,56.54291373,2
64.57705084,47.15370208,32.80288069,31.88894612,56.39781299,2
64.57705084,46.272329,31.92026885,30.95156409,55.04752933,2
