index0;index1;index2;index3;index4;temp;press;hum;label;;;;;;
297760.97;1995615.12;4501099.00;960600.37;229493.50;31.74;90180.84;15.07;3;;;;;;
299065.41;2041874.37;4662493.00;1008122.06;246035.56;31.74;90178.25;14.99;3;;;;;;
316537.88;2189203.75;5064606.00;1081594.87;256192.14;31.74;90177.22;14.24;3;;;;;;
309646.22;2171792.25;5027309.00;1061414.87;244449.75;31.77;90178.37;14.32;3;;;;;;
307692.31;2119534.25;4840177.50;1005153.38;221023.09;31.80;90179.64;14.78;3;;;;;;
301442.44;2054162.50;4714820.00;999268.12;230112.36;31.80;90178.24;14.93;3;;;;;;
301975.81;2063476.12;4785046.50;1034866.12;255234.30;31.78;90179.99;14.57;3;;;;;;
352132.06;2509035.25;5820248.50;1202583.62;259898.48;31.82;90177.34;13.76;3;;;;;;
295697.38;1989798.37;4580374.50;968092.62;220880.06;31.87;90180.23;14.43;3;;;;;;
264326.28;1741126.50;3965150.00;881239.25;232939.03;31.90;90180.35;14.93;3;;;;;;
321003.13;2210469.50;5160315.00;1072251.25;236653.58;31.93;90181.55;14.50;3;;;;;;
277657.28;1860972.25;4357447.00;968092.62;253152.05;31.95;90181.72;14.25;3;;;;;;
353591.16;2493000.50;5807869.50;1177688.37;236325.88;31.96;90182.27;14.14;3;;;;;;
344665.09;2518290.75;5895646.00;1227449.75;277206.28;32.00;90180.21;13.33;3;;;;;;
335847.81;2325291.00;5410832.00;1130866.87;280855.72;32.05;90181.91;13.47;3;;;;;;
294676.25;1943074.00;4446133.00;955223.87;227656.73;32.04;90182.04;14.43;3;;;;;;
286273.41;1923908.00;4471615.50;968092.62;238639.02;32.04;90183.19;14.74;3;;;;;;
331606.22;2363531.50;5587994.50;1168616.25;262496.78;32.05;90182.34;13.78;3;;;;;;
317716.41;2219452.75;5229492.50;1128063.87;275639.31;32.08;90182.34;13.40;3;;;;;;
313341.50;2190960.25;5155443.50;1075630.25;234700.89;32.09;90181.48;13.91;3;;;;;;
298020.97;2005876.62;4658516.00;960600.37;224070.02;32.08;90183.81;14.88;3;;;;;;
